N;Time
10000.0;0.002007
20000.0;0.005
30000.0;0.008999
40000.0;0.010012
50000.0;0.010006
60000.0;0.014014
70000.0;0.016923
80000.0;0.01698
90000.0;0.018067
100000.0;0.020043
110000.0;0.03631
120000.0;0.025999
130000.0;0.026999
140000.0;0.033
150000.0;0.034998
160000.0;0.036873
170000.0;0.040933
180000.0;0.044525
190000.0;0.048003
200000.0;0.05808
210000.0;0.054639
220000.0;0.05714
230000.0;0.071149
240000.0;0.055913
250000.0;0.062059
260000.0;0.080329
270000.0;0.067998
280000.0;0.081779
290000.0;0.074264
300000.0;0.07378
310000.0;0.088168
320000.0;0.081926
330000.0;0.095246
340000.0;0.089999
350000.0;0.101108
360000.0;0.093078
370000.0;0.111569
380000.0;0.09599
390000.0;0.102975
400000.0;0.103997
410000.0;0.120977
420000.0;0.110996
430000.0;0.127432
440000.0;0.111725
450000.0;0.110642
460000.0;0.129159
470000.0;0.12108
480000.0;0.138286
490000.0;0.128454
500000.0;0.132577
510000.0;0.134793
520000.0;0.132613
530000.0;0.141229
540000.0;0.150789
550000.0;0.158855
560000.0;0.150919
570000.0;0.146505
580000.0;0.170042
590000.0;0.164061
600000.0;0.166785
610000.0;0.15948
620000.0;0.174649
630000.0;0.18434
640000.0;0.176034
650000.0;0.174152
660000.0;0.178996
670000.0;0.180831
680000.0;0.185265
690000.0;0.182408
700000.0;0.193284
710000.0;0.199973
720000.0;0.203785
730000.0;0.205009
740000.0;0.213995
750000.0;0.222675
760000.0;0.204847
770000.0;0.202281
780000.0;0.219649
790000.0;0.216307
800000.0;0.207999
810000.0;0.218977
820000.0;0.221841
830000.0;0.240417
840000.0;0.227438
850000.0;0.257498
860000.0;0.241093
870000.0;0.236947
880000.0;0.243495
890000.0;0.24599
900000.0;0.246034
910000.0;0.240486
920000.0;0.243378
930000.0;0.268682
940000.0;0.260619
950000.0;0.276295
960000.0;0.279891
970000.0;0.263669
980000.0;0.279764
990000.0;0.267475
1000000.0;0.280432
