N;Time
10000.0;0.004999
20000.0;0.006993
30000.0;0.011986
40000.0;0.010999
50000.0;0.017777
60000.0;0.019002
70000.0;0.020014
80000.0;0.018003
90000.0;0.024014
100000.0;0.024983
110000.0;0.041105
120000.0;0.02606
130000.0;0.032003
140000.0;0.042038
150000.0;0.05495
160000.0;0.040616
170000.0;0.039989
180000.0;0.046056
190000.0;0.064315
200000.0;0.053014
210000.0;0.058526
220000.0;0.069859
230000.0;0.060008
240000.0;0.064011
250000.0;0.077056
260000.0;0.06698
270000.0;0.077003
280000.0;0.073923
290000.0;0.075935
300000.0;0.089666
310000.0;0.088064
320000.0;0.093783
330000.0;0.088814
340000.0;0.103921
350000.0;0.095986
360000.0;0.102556
370000.0;0.097071
380000.0;0.102994
390000.0;0.110521
400000.0;0.116365
410000.0;0.104029
420000.0;0.121864
430000.0;0.10769
440000.0;0.12489
450000.0;0.126047
460000.0;0.122077
470000.0;0.13257
480000.0;0.138582
490000.0;0.127373
500000.0;0.146068
510000.0;0.133999
520000.0;0.134111
530000.0;0.161285
540000.0;0.155415
550000.0;0.143578
560000.0;0.148984
570000.0;0.162555
580000.0;0.161254
590000.0;0.157074
600000.0;0.179327
610000.0;0.162433
620000.0;0.170079
630000.0;0.169664
640000.0;0.178229
650000.0;0.173947
660000.0;0.188786
670000.0;0.190683
680000.0;0.196443
690000.0;0.198206
700000.0;0.192703
710000.0;0.204134
720000.0;0.204876
730000.0;0.195413
740000.0;0.205899
750000.0;0.196077
760000.0;0.20064
770000.0;0.194988
780000.0;0.214722
790000.0;0.209577
800000.0;0.219836
810000.0;0.220426
820000.0;0.212029
830000.0;0.227788
840000.0;0.241726
850000.0;0.216205
860000.0;0.224226
870000.0;0.237762
880000.0;0.234294
890000.0;0.236022
900000.0;0.243483
910000.0;0.2419
920000.0;0.235609
930000.0;0.255935
940000.0;0.249104
950000.0;0.256002
960000.0;0.25045
970000.0;0.238771
980000.0;0.257483
990000.0;0.259246
1000000.0;0.246629
