N;Time
1000000.0;0.255429
1100000.0;0.283551
1200000.0;0.315913
1300000.0;0.354753
1400000.0;0.383568
1500000.0;0.407698
1600000.0;0.432484
1700000.0;0.470027
1800000.0;0.493175
1900000.0;0.516486
2000000.0;0.535753
2100000.0;0.563956
2200000.0;0.601707
2300000.0;0.626904
2400000.0;0.668022
2500000.0;0.690944
2600000.0;0.731938
2700000.0;0.760775
2800000.0;0.769368
2900000.0;0.809159
3000000.0;0.846621
3100000.0;0.876781
3200000.0;0.889481
3300000.0;0.926521
3400000.0;0.947389
3500000.0;0.977869
3600000.0;0.99559
3700000.0;1.02937
3800000.0;1.07319
3900000.0;1.09304
4000000.0;1.11485
