N;Time
1000000.0;0.222824
1100000.0;0.240763
1200000.0;0.271718
1300000.0;0.288034
1400000.0;0.31906
1500000.0;0.33853
1600000.0;0.364661
1700000.0;0.377306
1800000.0;0.399266
1900000.0;0.438008
2000000.0;0.443129
2100000.0;0.472994
2200000.0;0.496704
2300000.0;0.511999
2400000.0;0.538012
2500000.0;0.559789
2600000.0;0.575384
2700000.0;0.603011
2800000.0;0.638826
2900000.0;0.646571
3000000.0;0.677663
3100000.0;0.710341
3200000.0;0.729666
3300000.0;0.7288
3400000.0;0.749067
3500000.0;0.794019
3600000.0;0.80884
3700000.0;0.835945
3800000.0;0.85077
3900000.0;0.87626
4000000.0;0.89753
